longname,White %,Hispanic %,Black %,Asian %,Native %,Hawaiian / PI %,Other / Mixed %
"Houston TX HSA, Houston TX HRR, USA",0.2710758411580677,0.40179525080759343,0.19989458027244938,0.09391386315727875,0.0017065449905210657,0.0005300456748651835,0.031083873939224516
"Chicago IL HSA, Chicago IL HRR, USA",0.3167095524036344,0.2883650634583499,0.2895347781095389,0.07362551878060858,0.0012187377798451096,0.00019723258738372682,0.03034911688063932
"Brooklyn NY HSA, New York NY HRR, USA",0.336456448444169,0.18785576172079507,0.28048973443955727,0.1398654009777315,0.0014697772686341774,0.0002598286992044588,0.053603048449908514
"Dallas TX HSA, Dallas TX HRR, USA",0.3176299910790633,0.35430678530144966,0.2185979408644058,0.07423723578059804,0.002598252976528042,0.0004106526763212277,0.032219141321633955
"Phoenix AZ HSA, Phoenix AZ HRR, USA",0.43425254028013927,0.39699003791865706,0.0694423359781934,0.03764961676517421,0.01866203478800637,0.002071357245027393,0.04093207702480231
"San Antonio TX HSA, San Antonio TX HRR, USA",0.3014463660805964,0.5643829840190254,0.0690048465943619,0.029549984754161387,0.0023841669079343792,0.0013372717347283952,0.03189437990919211
"Las Vegas NV HSA, Las Vegas NV HRR, USA",0.38666747640487276,0.3140762865405867,0.12342204567475577,0.10359174103836043,0.0037542407738152747,0.008388611768256607,0.060099597799352394
"New York NY HSA, New York NY HRR, USA",0.4608418887943265,0.24868995123661078,0.10590356574246891,0.1383910605691872,0.0010996646713317087,0.0004905390261895452,0.04458332995988534
"Miami FL HSA, Miami FL HRR, USA",0.12767110775958423,0.6669511307085889,0.16518102562478953,0.016177513237411865,0.0006053855327248777,0.0001338372136531227,0.023279999923247474
"Los Angeles CA HSA, Los Angeles CA HRR, USA",0.21673135850889838,0.516126622531758,0.11431112834907672,0.11360962670020154,0.0017596906664661433,0.00084298928750585,0.03661858395609332
"Denver CO HSA, Denver CO HRR, USA",0.6457224933824612,0.21735533542006305,0.04041497188073005,0.04217865693101938,0.0045738761343555034,0.0011729795117925359,0.04858168673957821
"Philadelphia PA HSA, Philadelphia PA HRR, USA",0.405188475480859,0.1375067000790048,0.3313931620047622,0.08321347560404736,0.0015039932197116735,0.0003361673960331152,0.04085802621558185
"Austin TX HSA, Austin TX HRR, USA",0.4920305999342946,0.32697205864895384,0.06511513625584239,0.06915518893057591,0.0023433078517929562,0.0005963177379680473,0.04378739064057225
"Atlanta GA HSA, Atlanta GA HRR, USA",0.34607527386942544,0.12661922539161832,0.41255115029430106,0.07205321623938195,0.001488163885970083,0.0003531043280908731,0.04085986599121225
